type,service,area,url,exists,linked,in_sitemap,content_ok,faq_ok,providers_visible,form_ok
service,Ice Maker Repair,,/services/ice-maker-repair,true,false,false,false,false,false,false
service,AC Repair & Cleaning,,/services/ac-repair-cleaning,false,false,false,false,false,false,false
service,Washing Machine Repair,,/services/washing-machine-repair,false,false,false,false,false,false,false
service,Refrigerator Repair,,/services/refrigerator-repair,false,false,false,false,false,false,false
service,Dishwasher Repair,,/services/dishwasher-repair,false,false,false,false,false,false,false
service,Oven & Stove Repair,,/services/oven-stove-repair,false,false,false,false,false,false,false
service,Dryer Repair,,/services/dryer-repair,false,false,false,false,false,false,false
service,Wine Cooler Repair,,/services/wine-cooler-repair,false,false,false,false,false,false,false
service,Home Deep Cleaning,,/services/home-deep-cleaning,false,false,false,false,false,false,false
service,Sofa Cleaning,,/services/sofa-cleaning,false,false,false,false,false,false,false
service,Carpet Cleaning,,/services/carpet-cleaning,false,false,false,false,false,false,false
service,Mattress Cleaning,,/services/mattress-cleaning,false,false,false,false,false,false,false
service,Kitchen Cleaning,,/services/kitchen-cleaning,false,false,false,false,false,false,false
service,Bathroom Cleaning,,/services/bathroom-cleaning,false,false,false,false,false,false,false
service,Move-In/Move-Out Cleaning,,/services/move-in-out-cleaning,false,false,false,false,false,false,false
service,General Pest Control,,/services/general-pest-control,false,false,false,false,false,false,false
service,Cockroach Control,,/services/cockroach-control,false,false,false,false,false,false,false
service,Bed Bug Treatment,,/services/bed-bug-treatment,false,false,false,false,false,false,false
service,Termite Control,,/services/termite-control,false,false,false,false,false,false,false
service,Rodent Control,,/services/rodent-control,false,false,false,false,false,false,false
service,Disinfection & Sanitization,,/services/disinfection-sanitization,false,false,false,false,false,false,false
service,Electrical,,/services/electrical,false,false,false,false,false,false,false
service,Plumbing,,/services/plumbing,false,false,false,false,false,false,false
service,AC Servicing,,/services/ac-servicing,false,false,false,false,false,false,false
service,Painting,,/services/painting,false,false,false,false,false,false,false
service,Curtain/TV/Furniture Installations,,/services/installations,false,false,false,false,false,false,false
service,Laundry & Dry Cleaning,,/services/laundry-dry-cleaning,false,false,false,false,false,false,false
service,Packers & Movers,,/services/packers-movers,false,false,false,false,false,false,false
area,,Dubai Marina,/areas/dubai-marina,true,false,false,false,false,false,false
