id,title,url,service,area,status,timestamp
service-area-ac-repair-cleaning-al-barsha,"AC Repair & Cleaning in Al Barsha",/ac-repair-cleaning/al-barsha,ac-repair-cleaning,al-barsha,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-barsha-heights,"AC Repair & Cleaning in Barsha Heights",/ac-repair-cleaning/barsha-heights,ac-repair-cleaning,barsha-heights,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-dubai-marina,"AC Repair & Cleaning in Dubai Marina",/ac-repair-cleaning/dubai-marina,ac-repair-cleaning,dubai-marina,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-jbr,"AC Repair & Cleaning in JBR",/ac-repair-cleaning/jbr,ac-repair-cleaning,jbr,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-jlt,"AC Repair & Cleaning in JLT",/ac-repair-cleaning/jlt,ac-repair-cleaning,jlt,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-dubai-media-city,"AC Repair & Cleaning in Dubai Media City",/ac-repair-cleaning/dubai-media-city,ac-repair-cleaning,dubai-media-city,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-dubai-internet-city,"AC Repair & Cleaning in Dubai Internet City",/ac-repair-cleaning/dubai-internet-city,ac-repair-cleaning,dubai-internet-city,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-dubai-knowledge-park,"AC Repair & Cleaning in Dubai Knowledge Park",/ac-repair-cleaning/dubai-knowledge-park,ac-repair-cleaning,dubai-knowledge-park,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-palm-jumeirah,"AC Repair & Cleaning in Palm Jumeirah",/ac-repair-cleaning/palm-jumeirah,ac-repair-cleaning,palm-jumeirah,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-business-bay,"AC Repair & Cleaning in Business Bay",/ac-repair-cleaning/business-bay,ac-repair-cleaning,business-bay,created,2025-08-08T17:19:57.172Z
service-area-ac-repair-cleaning-downtown-dubai,"AC Repair & Cleaning in Downtown Dubai",/ac-repair-cleaning/downtown-dubai,ac-repair-cleaning,downtown-dubai,created,2025-08-08T17:19:57.172Z
